Ministry,Year,PositionTitle,PositionClass,BaseSalary,CashBenefits,NonCashBenefits,Severance
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,157714.18,0,45051.44,0
Justice and Solicitor General,2016,Quality Assurance Manager,Manager Zone 2,107152.5,0,30447.94,0
Justice and Solicitor General,2016,Assist Chief Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,51118.45,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,124753.46,0,37366,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,121122.82,0,38767.07,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,132350.92,0,36202.77,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,161990.92,0,46318.44,0
Justice and Solicitor General,2016,Chief Crown Prosecutor,Justice Legal Counsel 4,181228.06,6000,48220.49,0
Justice and Solicitor General,2016,Policy Counsel,Justice Legal Counsel 3,152534.2,0,40820.69,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,114257.95,464.29,30244.7,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 3,168145.12,0,44977.24,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,168145.12,0,48069.7,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,136363.5,0,35912.31,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,49697.03,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,47137.53,0
Justice and Solicitor General,2016,Deputy Director,Senior Manager Zone 1,118938.56,0,31705.25,0
Justice and Solicitor General,2016,Manager,Manager Zone 2,107152.5,0,29172.78,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 3,161832.8,0,46028.54,0
Justice and Solicitor General,2016,IMT Planning & Portfolio Lead,Program Services 5,106748.51,0,26112.15,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,160879.16,0,45497.65,0
Justice and Solicitor General,2016,"ED, ASIRT",Executive Manager 1,192540.92,0,53316.62,0
Justice and Solicitor General,2016,Senior Manager,Senior Manager Zone 1,119341.1,0,36755.57,0
Justice and Solicitor General,2016,Manager,Manager Zone 2,106452.06,6000,30919.58,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 5,190112.02,0,52730.16,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,166046.4,0,47580.36,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,51118.45,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 3,154504.88,0,65372.91,0
Justice and Solicitor General,2016,Legal Counsel,Justice Legal Counsel 2,177659.84,0,11684.01,0
Justice and Solicitor General,2016,Legal Team Lead,Justice Legal Counsel 4,144982.5,0,42230.93,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,11207.67,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,111238.4,0,33994.07,0
Justice and Solicitor General,2016,Legal Officer,Justice Legal Counsel 2,149644.26,0,10997.57,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,128496.16,0,37403.4,0
Justice and Solicitor General,2016,"ED, Court of Queens Bench",Justice Legal Counsel 6,196873.04,150,58850.31,0
Justice and Solicitor General,2016,"ED, IMTS Service Delivery",Executive Manager 1,164060.78,0,44094.02,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,46646.24,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,117592.02,50,30842.73,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,44192.32,0
Justice and Solicitor General,2016,Forensic Unit Manager,Scientific 4,119119.19,8171.28,25260.76,0
Justice and Solicitor General,2016,Dir. Property Rights Adv. Offi,Senior Manager Zone 2,140709.2,0,41535.01,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 3,140935.59,0,40968.66,0
Justice and Solicitor General,2016,Director,Senior Manager Zone 2,131138.8,24608.87,7272.07,0
Justice and Solicitor General,2016,Director Security,Senior Manager Zone 1,115724.44,3322.92,32406,0
Justice and Solicitor General,2016,Economic Crime Cr Prosecutor,Justice Legal Counsel 5,190848.58,0,49676.8,0
Justice and Solicitor General,2016,Chief Toxicologist,Chief Toxicologist,170880.84,0,6999.3,0
Justice and Solicitor General,2016,Assist Chief Medical Examiner,Pathologist IV,383143.47,0,5752.05,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,48636.76,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,157380.34,0,42025.44,0
Justice and Solicitor General,2016,Appellate Counsel,Justice Legal Counsel 3,166046.4,0,46893.52,0
Justice and Solicitor General,2016,Assist Chief Crown Prosecutor,Justice Legal Counsel 3,152160.58,0,39168.18,0
Justice and Solicitor General,2016,Legal Counsel,Justice Legal Counsel 2,124753.46,0,34767.96,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,151786.7,0,39479.17,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,158103.66,0,45607.03,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,160879.16,0,46042.55,0
Justice and Solicitor General,2016,Case Management Counsel,Justice Legal Counsel 3,161991.18,0,46000.06,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,47012.16,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,132564.64,150,39292.78,0
Justice and Solicitor General,2016,"Mgr, Policing Oversight & Fund",Manager Zone 2,107152.5,0,32199.3,0
Justice and Solicitor General,2016,Chief Crown Prosecutor,Justice Legal Counsel 6,196873.04,0,52657.51,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,172530.54,0,43946.73,0
Justice and Solicitor General,2016,Director,Justice Legal Counsel 3,133045.9,0,39179.71,0
Justice and Solicitor General,2016,"Manager, Financial Operations",Manager Zone 2,107152.5,0,9240.26,0
Justice and Solicitor General,2016,Economic Crime Prosecutor,Justice Legal Counsel 3,152533.94,0,39933.53,0
Justice and Solicitor General,2016,Associate Director,Senior Manager Zone 2,131850.15,0,36051.74,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 3,152689.42,0,44963.08,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,144982.24,0,42220.5,0
Justice and Solicitor General,2016,Director - Sheriffs Branch,Senior Manager Zone 2,133317.86,0,38135.06,0
Justice and Solicitor General,2016,Delivery Manager,Manager Zone 2,107152.5,0,30486.7,0
Justice and Solicitor General,2016,Legal Counsel,Justice Legal Counsel 3,164639.92,0,47526.74,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 3,165705.54,0,43915.21,0
Justice and Solicitor General,2016,Director,Senior Manager Zone 2,115016.98,0,33315.16,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,160879.16,0,42848.89,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,152689.42,150,41619.42,0
Justice and Solicitor General,2016,Staff Dev. & Personnel Mngr,Manager Zone 2,108570.22,0,7035.2,0
Justice and Solicitor General,2016,Bodily Injury Specialist,Manager Zone 2,107152.5,0,25916.22,0
Justice and Solicitor General,2016,Dep Dir Staffing Train&Legal,Manager Zone 2,107152.5,0,29172.78,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,168145.12,300,47720.26,0
Justice and Solicitor General,2016,Legal Counsel,Justice Legal Counsel 3,165635.86,0,46840.46,0
Justice and Solicitor General,2016,Asst Chief Crown Prosecutor,Justice Legal Counsel 4,180513.06,0,46148.93,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,157317.51,0,45520.79,0
Justice and Solicitor General,2016,Director,Justice Legal Counsel 5,190848.58,0,53082.98,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,148988.65,0,41157.17,0
Justice and Solicitor General,2016,Economic Crime Crown Prosecuto,Justice Legal Counsel 4,181228.06,0,46775.47,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,107453.53,0,27329.53,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 2,113841.36,0,29170.23,0
Justice and Solicitor General,2016,Appellate Counsel,Justice Legal Counsel 4,181228.06,0,48573.31,0
Justice and Solicitor General,2016,Director Strategic Operations,Senior Manager Zone 2,131513.46,0,38686.77,0
Justice and Solicitor General,2016,Director Programs,Senior Manager Zone 1,114633.22,5294.78,32156.61,0
Justice and Solicitor General,2016,Superintendent - Northwest,Senior Manager Zone 1,118938.56,6000,33139.68,0
Justice and Solicitor General,2016,Assistant Deputy Minister,Assistant Deputy Minister,192890.1,0,53190.19,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,163366.25,22250,41706.97,0
Justice and Solicitor General,2016,"Director, Policy Unit",Justice Legal Counsel 5,188198.31,0,51853.86,0
Justice and Solicitor General,2016,Director IT Services,Senior Manager Zone 1,118938.56,0,32585.35,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,181228.06,0,51118.45,0
Justice and Solicitor General,2016,Comm. Dir. JSG,Senior Manager Zone 2,133068.26,2150,39575.86,0
Justice and Solicitor General,2016,Manager,Manager Zone 2,130772.2,500,13978.45,0
Justice and Solicitor General,2016,"ED, Strategic Serv",Executive Manager 1,142107.68,0,41957.3,0
Justice and Solicitor General,2016,Senior Strategic Analyst,Manager Zone 2,107152.5,0,28827.65,0
Justice and Solicitor General,2016,Director,Justice Legal Counsel 5,190848.58,0,19723.16,0
Justice and Solicitor General,2016,"Manager, Administrative System",Manager Zone 1,107841.12,0,32456.59,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 3,151783.84,0,42290.97,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,124753.46,50,39225.14,0
Justice and Solicitor General,2016,Southern Director,Senior Manager Zone 1,118938.56,0,33082.03,0
Justice and Solicitor General,2016,Legislative Counsel,Justice Legal Counsel 3,168145.12,0,46857.72,0
Justice and Solicitor General,2016,"Manager, Victims Programs",Manager Zone 2,107152.5,0,30312.25,0
Justice and Solicitor General,2016,Director Corporate Security Se,Senior Manager Zone 1,118938.56,0,35772.95,0
Justice and Solicitor General,2016,"ED, Calgary Crt Centre",Executive Manager 1,164060.78,0,50955.94,0
Justice and Solicitor General,2016,"Director, OD & E",Senior Manager Zone 2,114019.23,0,34460.92,0
Justice and Solicitor General,2016,"Director, SELT",Justice Legal Counsel 5,190848.58,0,52532.3,0
Justice and Solicitor General,2016,Director,Senior Manager Zone 2,111208.24,5730.65,31375.33,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,168145.12,0,46445.1,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,117592.02,6000,31119.88,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,44541.76,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,124753.46,0,36436.38,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,132350.92,0,41211.04,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,143923.52,0,38062.61,0
Justice and Solicitor General,2016,ExCounToACJ/DirEdm/DepExDir,Justice Legal Counsel 4,181228.06,50,50869.65,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,137442.44,0,37308.99,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,117592.02,0,31724.19,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,47439.72,0
Justice and Solicitor General,2016,Program Director,Manager Zone 2,107152.5,0,30447.94,0
Justice and Solicitor General,2016,Deputy Director Operations,Manager Zone 2,107152.5,19645.97,30447.93,0
Justice and Solicitor General,2016,Legal Counsel,Justice Legal Counsel 2,169541.16,0,9769.59,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,181228.06,0,50471.19,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,159271.84,0,41776.92,0
Justice and Solicitor General,2016,"Director, Workplace Health",Senior Manager Zone 1,118938.56,0,35672.33,0
Justice and Solicitor General,2016,Manager,Manager Zone 2,107152.5,0,37920.86,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,168145.12,0,44860.7,0
Justice and Solicitor General,2016,Economic Crime Crown Prosecuto,Justice Legal Counsel 4,181228.06,0,47185,0
Justice and Solicitor General,2016,Asst Chief Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,47514.94,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,152689.42,0,40915.78,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,162070.74,0,43886.5,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 3,153281.96,0,43793.52,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,140360.46,0,36855.87,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,148242.12,0,43802.78,0
Justice and Solicitor General,2016,Deputy Director,Manager Zone 2,107152.5,30152.11,30447.92,0
Justice and Solicitor General,2016,ExCounToACJ/DirEdm/DepExDir,Justice Legal Counsel 4,135784.48,0,39453.47,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,158240.54,0,45747.85,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,50564.13,0
Justice and Solicitor General,2016,Dir FOIP & Records Management,Senior Manager Zone 1,117497.48,5363.28,35256.33,0
Justice and Solicitor General,2016,Tech Internet Crown Prosecutor,Justice Legal Counsel 3,148242.12,0,43390.68,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,151786.7,0,43788.03,0
Justice and Solicitor General,2016,"Manager, Policy Compl. & Leg.",Manager Zone 2,113515.71,0,34091.1,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,117592.02,0,31557.72,0
Justice and Solicitor General,2016,ED Departmental Legal Services,Justice Legal Counsel 6,196873.04,0,54133.91,0
Justice and Solicitor General,2016,"Director, RCAS Strategy",Senior Manager Zone 1,150697.66,0,43709.06,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,128496.16,6000,33753.45,0
Justice and Solicitor General,2016,"ED, Org Strategy & Transform",Executive Manager 1,164060.78,0,47118.08,0
Justice and Solicitor General,2016,Assist Chief Crown Prosecutor,Justice Legal Counsel 3,156193.44,239.09,41495.01,0
Justice and Solicitor General,2016,Inspector-Grande Prairie Unit,Manager Zone 2,107152.5,6000,31077.92,0
Justice and Solicitor General,2016,Inspector,Manager Zone 2,107152.5,0,30447.94,0
Justice and Solicitor General,2016,Legal Officer,Justice Legal Counsel 3,165635.86,0,50950.28,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,148242.12,0,39787.17,0
Justice and Solicitor General,2016,Centre Director,Senior Manager Zone 2,120011.58,0,33385.09,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,47241.86,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 5,190848.58,0,49832.2,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,180358.62,0,46833.63,0
Justice and Solicitor General,2016,Staff Supt. - Spec Invest Sec,Senior Manager Zone 2,133317.86,0,39509.94,0
Justice and Solicitor General,2016,Manager,Manager Zone 2,107152.5,0,30447.94,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,181228.06,0,53308.69,0
Justice and Solicitor General,2016,Case Management Officer,Justice Legal Counsel 2,177659.84,0,9782.05,0
Justice and Solicitor General,2016,"Dir., Data Quality & Migration",Senior Manager Zone 2,133317.86,0,36713.66,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,119124.24,0,37965,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,47325.57,0
Justice and Solicitor General,2016,Director TA Program,Senior Manager Zone 2,133246.38,0,36392.11,0
Justice and Solicitor General,2016,Appellate Counsel,Justice Legal Counsel 4,181228.06,0,49492.05,0
Justice and Solicitor General,2016,Manager,Manager Zone 2,107152.5,0,31393.04,0
Justice and Solicitor General,2016,"Director, Change Management",Senior Manager Zone 1,118938.56,0,36667.61,0
Justice and Solicitor General,2016,RBB Project Manager,Senior Manager Zone 2,127407.28,0,37976.29,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 3,122027.36,0,36600.06,0
Justice and Solicitor General,2016,Deputy Director,Manager Zone 2,106141.88,3656.91,30218.1,0
Justice and Solicitor General,2016,"Manager, Hearing Office",Manager Zone 2,107152.5,250,33975.88,0
Justice and Solicitor General,2016,Deputy Director,Senior Manager Zone 1,118938.56,0,36667.61,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 5,190848.58,0,48469.34,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 2,121119.7,0,32086.58,0
Justice and Solicitor General,2016,Asst Chief Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,47530.05,0
Justice and Solicitor General,2016,Inspector - Red Deer Unit,Manager Zone 2,107152.5,0,30447.94,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,128007.36,0,34481.04,0
Justice and Solicitor General,2016,"ED, Legal Ser Coordination",Justice Legal Counsel 6,196873.04,0,54133.91,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,124753.46,0,37350.78,0
Justice and Solicitor General,2016,Asst Chief Medical Examiner,Pathologist II,343914.99,0,5713.86,0
Justice and Solicitor General,2016,Superintendent Southern Region,Senior Manager Zone 1,118938.56,0,33139.67,0
Justice and Solicitor General,2016,Deputy Director Operations,Manager Zone 2,107152.5,9891.01,30447.93,0
Justice and Solicitor General,2016,"Manager, High Risk Offender Pr",Manager Zone 2,116321.4,0,36069.37,0
Justice and Solicitor General,2016,Inspector - Lethbridge Unit,Manager Zone 2,107152.5,350,26215.64,0
Justice and Solicitor General,2016,"PC Manager, Red Deer",Manager Zone 1,118245.4,0,8898.28,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,47628.74,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,176774,0,46494.91,0
Justice and Solicitor General,2016,"Director, SIU",Senior Manager Zone 2,114405.91,0,31069.39,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,144982.5,0,42545.93,0
Justice and Solicitor General,2016,Deputy Registrar,Senior Manager Zone 1,106930.48,0,34553.09,0
Justice and Solicitor General,2016,Manager,Manager Zone 2,107152.5,0,33975.88,0
Justice and Solicitor General,2016,Project Manager,Manager Zone 2,107152.5,0,33093.96,0
Justice and Solicitor General,2016,Deputy Director,Manager Zone 2,107152.5,9836.59,30447.94,0
Justice and Solicitor General,2016,Appellate Counsel,Justice Legal Counsel 4,181228.06,0,51062.03,0
Justice and Solicitor General,2016,Review Officer,Justice Legal Counsel 3,146956.86,1355.05,45646.44,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,136363.5,0,35254.65,0
Justice and Solicitor General,2016,Chief Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,47590.51,0
Justice and Solicitor General,2016,"ED, Programs & Serv",Executive Manager 1,165499.37,0,43757.85,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,168145.12,0,48069.7,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,181228.06,0,48769.22,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 5,190848.58,0,51455,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,181228.06,0,50095.23,0
Justice and Solicitor General,2016,Deputy Director,Manager Zone 2,107152.5,16427.57,30447.94,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,175036.68,0,49234.49,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,160879.42,0,45619,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,46477.22,0
Justice and Solicitor General,2016,Deputy Director,Manager Zone 2,107152.5,9775.17,30447.94,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,155489.29,0,44565.73,0
Justice and Solicitor General,2016,Policy Counsel,Justice Legal Counsel 4,179630.1,0,46274.72,0
Justice and Solicitor General,2016,Legal Counsel,Justice Legal Counsel 2,132350.92,0,39428.07,0
Justice and Solicitor General,2016,Chief Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,47036.19,0
Justice and Solicitor General,2016,"ED, Sheriff's & Security Ops",Executive Manager 1,143983.32,0,39620.59,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,173189.38,0,57756.96,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,132350.92,0,35900.13,0
Justice and Solicitor General,2016,Senior Legal Counsel,Justice Legal Counsel 3,168145.12,0,52461.88,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,152689.42,0,43755.76,0
Justice and Solicitor General,2016,Director,Justice Legal Counsel 5,190848.58,0,9487.02,0
Justice and Solicitor General,2016,Hearing Adjudicator,Senior Manager Zone 1,118938.56,0,6164.41,0
Justice and Solicitor General,2016,"Director,Integrated Com Safety",Senior Manager Zone 2,120212.58,0,35639.41,0
Justice and Solicitor General,2016,Executive Director,Executive Manager 1,152751.82,0,44140.96,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,181228.06,46004.05,50784.17,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,50312.72,0
Justice and Solicitor General,2016,Director,Justice Legal Counsel 5,190848.58,0,7244.78,0
Justice and Solicitor General,2016,Tech Internet Crime Prosecutor,Justice Legal Counsel 3,168145.12,0,44134.68,0
Justice and Solicitor General,2016,Barrister & Solicitor,Justice Legal Counsel 2,117592.02,0,34383.75,0
Justice and Solicitor General,2016,"ED, Law Enforce Oversight",Executive Manager 1,140364.9,0,9615.32,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,132350.92,0,38152.91,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,181228.06,0,48228.54,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,181228.06,0,50488.47,0
Justice and Solicitor General,2016,Legal Counsel,Justice Legal Counsel 3,168145.12,0,44541.76,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,46858.42,0
Justice and Solicitor General,2016,Chief Legislative Counsel,Justice Legal Counsel 7,212429.36,0,54844.74,0
Justice and Solicitor General,2016,Assist  Dir Programs & Admin,Senior Manager Zone 1,118938.56,0,33139.67,0
Justice and Solicitor General,2016,"Director, Education& Comm Svcs",Senior Manager Zone 2,133317.86,0,40619.7,0
Justice and Solicitor General,2016,Executive Legal Counsel,Justice Legal Counsel 4,171933.56,0,48473.83,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,132350.92,0,34927.61,0
Justice and Solicitor General,2016,Policy Crown,Justice Legal Counsel 4,180067.16,0,47319.82,0
Justice and Solicitor General,2016,"ED, CCRPB",Executive Manager 1,139472.32,0,37046.74,0
Justice and Solicitor General,2016,Economic Crime Prosecutor,Justice Legal Counsel 5,181968.1,0,46485.56,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,51786.39,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,128496.16,0,39357.11,0
Justice and Solicitor General,2016,Review  Officer,Justice Legal Counsel 2,168127.44,0,44425.81,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,158875.94,0,44077.1,0
Justice and Solicitor General,2016,"Executive Director, FSOS",Executive Manager 1,164060.78,0,47118.08,0
Justice and Solicitor General,2016,"Director, Victims Services",Senior Manager Zone 2,130201.24,0,38942.13,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,124753.46,0,34768.79,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,168145.12,0,44541.76,0
Justice and Solicitor General,2016,Assist Chief Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,50309.14,0
Justice and Solicitor General,2016,Legal Research Officer,Justice Legal Counsel 3,165230.78,0,45957.48,0
Justice and Solicitor General,2016,"Director, Education Unit",Justice Legal Counsel 4,181228.06,0,46978.55,0
Justice and Solicitor General,2016,Centre Director,Senior Manager Zone 2,145008.69,0,7410.08,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,148242.12,0,42388.74,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 2,132350.92,0,39100.73,0
Justice and Solicitor General,2016,Centre Director,Senior Manager Zone 2,120011.58,0,33385.09,0
Justice and Solicitor General,2016,Legal Counsel,Justice Legal Counsel 2,145573.69,0,6482.97,0
Justice and Solicitor General,2016,Assistant Executive Director,Justice Legal Counsel 4,181228.06,0,51118.45,0
Justice and Solicitor General,2016,Case Management Counsel,Justice Legal Counsel 3,160879.16,0,45101.67,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 3,168145.12,0,47241.86,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,168145.12,19401.36,44541.76,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,143880.42,0,38932.85,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,181228.06,0,50074.82,0
Justice and Solicitor General,2016,Deputy Director,Manager Zone 2,107498.69,17551.17,7035.19,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 2,136321.64,0,37109.14,0
Justice and Solicitor General,2016,Barrister and Solicitor,Justice Legal Counsel 4,144982.24,0,41991.58,0
Justice and Solicitor General,2016,"Acting Director, IT Services",Manager Zone 2,115724.7,0,32320.98,0
Justice and Solicitor General,2016,Director,Senior Manager Zone 2,153324.86,0,44593.48,0
Justice and Solicitor General,2016,Centre Director,Senior Manager Zone 2,129612.36,0,35576.89,0
Justice and Solicitor General,2016,Youth Justice Initiatives Mgr,Manager Zone 2,107152.5,0,30447.94,0
Justice and Solicitor General,2016,Team Commander,Manager Zone 2,117867.62,0,35427.2,0
Justice and Solicitor General,2016,"Mgr,ProbTraining  Programs",Manager Zone 2,107152.5,0,30134.79,0
Justice and Solicitor General,2016,Director AFRRCS,Senior Manager Zone 2,115405.42,0,32197.25,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 3,162070.74,0,46654.2,0
Justice and Solicitor General,2016,"Manager, Employee Relations",Senior Manager Zone 1,118938.56,0,33139.67,0
Justice and Solicitor General,2016,Crown Prosecutor,Justice Legal Counsel 4,181228.06,0,51118.45,0
